Name 	Symbol	ISIN  	Index Membership	Last closing	Change (%)	Turnover(NIS thousands)	Last transaction	Base Price	Opening Price	High	Low	Change (0.01 NIS)	Yield MTD (%)	Yield YTD (%)	Transactions	Volume	Market Cap(NIS thousands)	MinimumVolume*	Ex Type	Capital Listed for Trading
אאורה	אאורה 	373019	תא-SME60, תא-נדלן, תא All-Share, תא-רימון, תא-SME150	248.00	0.94	88.08	13:36	245.70	245.00	254.90	245.00	2.30	-4.0	-6.7	12	35834	514515	780		209407921
אבגול	אבגל	1100957	תא-90, תא-125, מדד תל-דיב, תא All-Share, תא-רימון, תא-SME150, תא סקטור-באלאנס, תא-תעשייה	213.00	-1.66	162.19	13:37	216.60	216.00	216.30	212.00	-3.60	-8.7	-16.8	42	75630	642984	840		296853097
אבוג'ן	אבגן	1105055	תא-SME60, מדד תא-ביומד, תא גלובל-בלוטק, תא All-Share, תא טק - עילית, תא-רימון, תא-SME150	501.00	-1.49	149.61	13:24	508.60	510.00	511.80	501.00	-7.60	-5.7	-3.2	41	29501	130986	370		25754297
אביב ארלון	אבלן	106013		268.70				268.70	268.70				0.2	1.2			100565	750		37426662
אביב בניה	אביב	444018	תא-נדלן, תא-צמיחה, תא All-Share	2094.00	2.20	145.21	13:47	2049.00	2070.00	2146.00	2068.00	45.00	-1.1	15.8	11	6939	271461	97		13248470
אביליטי	אביל	1137256		106.40				106.40	106.40				-5.1	-9.6			8554	1800		8039061
אברבוך	אברבך	675017	תא-צמיחה, תא All-Share	2103.00	3.85	19.12	14:02	2025.00	2025.00	2105.00	2000.00	78.00	-6.2	-32.4	10	941	170521	93		8420792
אברות	אברות	297010		37.40				37.40	37.40				0.0	7.2			61387	5300		164137100
אגוד	אגוד	722314	מדד תא-פיננסים, מדד תא-מעלה, תא-צמיחה, תא All-Share	1982.00	0.05	613.90	14:04	1981.00	1995.00	2013.00	1982.00	1.00	-2.6	-7.8	40	30799	1457680	98		73583024
אדגר	אדגר	1820083	תא-90, תא-125, תא-נדלן, תא All-Share, תא-רימון, תא-SME150	833.80	1.65	3085.67	13:56	820.30	820.30	834.90	820.30	13.50	-1.2	-3.4	136	371098	1248308	240		152177042
אדרי-אל	אדרל	1105162		107.00				107.00	107.00				12.3	-11.4			20113	2100		18797409
או פי סי אנרגיה	אפסא	1141571	תא-90, תא-125, תא All-Share, תא-רימון, תא-SME150, תא סקטור-באלאנס, תא-תשתיות אנרגיה	2883.00	-0.07	1560.34	14:07	2885.00	2905.00	2939.00	2870.00	-2.00	-4.9	-1.6	249	53892	4135924	66		143359571
או.אר.טי	ארטכ	1086230	תא-צמיחה, תא גלובל-בלוטק, תא All-Share, מדד תא-טכנולוגיה, תא טק - עילית, תא-תעשייה	3021.00	-0.23	39.10	12:49	3028.00	3028.00	3030.00	2952.00	-7.00	-0.3	11.7	16	1303	146077	66		4824218
אוברסיז	אובר	1139617	תא-SME60, תא All-Share, תא-רימון, תא-SME150	351.90	-1.23	13.79	11:31	356.30	356.30	355.60	351.20	-4.40	-2.7	6.8	6	3912	195922	550		54987900
אוגווינד-ש	אוגנ.ש	1105907		960.00	2.13	44.81	10:15	940.00	940.00	940.00	940.00	20.00	6.7	2.3	4	843	142930	230		15205300
אודיוקודס	אודק	1082965	תא-90, תא-125, תא גלובל-בלוטק, תא All-Share, מדד תא-טכנולוגיה, תא תקשורת וטכנולוגיות מידע, תא טק - עילית, תא-רימון, תא-SME150, תא סקטור-באלאנס, תא-תעשייה	7453.00	5.24	3056.78	14:04	7082.00	7300.00	7480.00	7254.00	371.00	-8.3	-20.3	348	41249	2094082	26		29569083
אופטיבייס	אובס	1135516	תא-נדלן, תא-צמיחה, תא All-Share	4169.00		0.04	09:59	4169.00	4169.00	4169.00	4169.00		0.5	-5.7	1	1	216720	48		5198361
אופל בלאנס	אופל	1094986	מדד תא-פיננסים, תא-צמיחה, תא All-Share, תא ביטוח-פלוס	419.40	0.91	85.28	13:47	415.60	415.60	419.80	415.60	3.80	-4.9	2.8	13	20343	390272	460		93905766
אופקו הלת'	אפקו	1129543	תא-35, תא-125, מדד תא-ביומד, תא גלובל-בלוטק, תא All-Share, תא טק - עילית, תא-רימון	521.80	2.88	1094.08	14:03	507.20	515.00	526.90	515.00	14.60	-0.4	-1.5	170	209904	3375929	980		665601143
אורביט	ארביט	265017	תא-צמיחה, תא גלובל-בלוטק, תא All-Share, מדד תא-טכנולוגיה, תא טק - עילית, תא-תעשייה	917.40	3.23	85.20	13:08	888.70	888.70	920.00	888.70	28.70	-9.0	6.0	18	9289	165182	200		18586913
אורד	אורד	1104496		58.80	1.55	0.05	10:15	57.90	58.80	58.80	58.80	0.90	-0.3	10.9	1	83	54024	3400		93305830
אורון קבוצה	אורנ	1135706	תא-נדלן, תא-צמיחה, תא All-Share	307.50	1.35	2.14	12:25	303.40	303.40	307.50	303.40	4.10	-1.8	-6.3	2	696	197590	650		65125150
אוריין	אורן	1103506	תא-SME60, תא All-Share, תא-רימון, תא-SME150	2067.00	1.22	84.22	13:37	2042.00	2042.00	2197.00	2042.00	25.00	-6.2	11.1	16	4067	271070	92		13274748
אורמד פארמ	ארמד	1141324	תא-SME60, מדד תא-ביומד, תא גלובל-בלוטק, תא All-Share, תא טק - עילית, תא-רימון, תא-SME150	1809.00	0.17	30.63	13:24	1806.00	1806.00	1839.00	1801.00	3.00	1.6	5.0	6	1693	313943	110		17383359
אורמת טכנו	ארמת	1134402	תא-35, תא-125, תא גלובל-בלוטק, תא All-Share, מדד תא-טכנולוגיה, תא טק - עילית, תא-רימון, תא סקטור-באלאנס, תא-תעשייה, תא-תשתיות אנרגיה	27990.00	1.41	6276.13	14:07	27600.00	27600.00	28080.00	27600.00	390.00	-0.1	6.0	412	22511	14084736	18		51031652
אזורים	אזרם	715011	תא-90, תא-125, תא-נדלן, תא All-Share, תא-רימון, תא-SME150, תא סקטור-באלאנס	876.00	4.29	1607.51	14:03	840.00	840.00	880.00	840.00	36.00	0.8	19.9	180	187231	1770219	240		210740327
