שם             	ענף בבורסה                                	כתובת                                      	טלפון       	פקס        	אתר הבית                       	דואר אלקטרוני                     	שם מלא                                      	מספר מנפיק	מספר תאגיד
אאורה          	ריאלי - נדלן ובינוי - נדלן ובינוי         	דרך מנחם בגין 132, תל-אביב                 	03-7181910  	03-7181911 	www.auraisrael.co.il           	yohai@auraisrael.co.il            	אאורה השקעות בעמ                            	373       	520038274
אבגול          	ריאלי - תעשיה - עץ, נייר ודפוס            	מנחם בגין 132, תל-אביב                     	03-9061500  	03-9364376 	www.avgol.com                  	abraham@avgol.com                 	אבגול תעשיות 1953 בעמ                       	1390      	510119068
אבוג'ן         	הייטק - ביומד - ביוטכנולוגיה              	גד פיינשטיין 13, רחובות                    	08-9311900  	08-9466724 	www.evogene.com                	ofer.haviv@evogene.com            	אבוג'ן בעמ                                  	1461      	512838723
אביב ארלון     	ריאלי - נדלן ובינוי - נדלן ובינוי         	ז'בוטינסקי 7, רמת גן                       	03-7533281  	03-7512219 	www.avivarlon.com              	landlaw@avivcomp.co.il            	אביב ארלון בעמ                              	106       	520041286
אביב בניה      	ריאלי - נדלן ובינוי - נדלן ובינוי         	אגריפס 40, ירושלים                         	02-6214444  	02-6232444 	www.maviv.co.il                	yedid@maviv.co.il                 	מרדכי אביב תעשיות בניה (1973) בעמ           	444       	520039264
אבנר יהש       	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	אבא אבן 12, הרצליה פיתוח                   	09-9712424  	09-9712425 	www.delekenergy.co.il          	avneroil@delekng.co.il            	אבנר חיפושי נפט וגז - שותפות מוגבלת         	268       	550011340
אברבוך         	ריאלי - מסחר ושרותים - מסחר               	הר עצמון 25, רמלה                          	08-9224986  	08-9224973 	www.averbuch.co.il             	zvi@averbuch.co.il                	מרכז הפורמיקה אברבוך בעמ                    	675       	520041013
אברות          	ריאלי - תעשיה - מתכת ומוצרי בניה          	                                           	03-9375000  	03-9375007 	www.avrot.co.il                	goland@avrot.co.il                	אברות תעשיות בעמ                            	297       	520037383
אגוד           	פיננסי - בנקים - בנקים                    	אחוזת בית 6-8, תל-אביב                     	03-5191580  	03-5191344 	www.unionbank.co.il            	magis@ubi.co.il                   	בנק אגוד לישראל בעמ                         	722       	520018649
אגוד הנפקות    	פיננסי - בנקים - בנקים                    	אחוזת בית 6, תל-אביב                       	03-5191700  	03-5191710 	                               	amos@ubi.co.il                    	אגוד הנפקות בעמ                             	1239      	513668277
אגרי           	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	קצנל דימנט עוד, משכית 6, הרצליה            	09-9556584  	09-9518666 	                               	issac2199@gmail.com               	אגרי אינווסט בעמ                            	389       	520038258
אדגר השקעות    	ריאלי - נדלן ובינוי - נדלן ובינוי         	אפעל 35, פתח-תקוה                          	03-9166691  	03-9191911 	www.adgar.co.il                	liat@adgar.com                    	אדגר השקעות ופיתוח בעמ                      	182       	520035171
אדמה           	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	גולן בנין הערבה, תד 298, פארק איירפורט סיטי	073-2321000 	073-2321074	www.ma-industries.com          	main@ma-industries.com            	אדמה פתרונות לחקלאות בעמ                    	1063      	520043605
אדן אנרגיה(ש)  	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	יהודה הלוי 23, תל אביב                     	03-6223399  	03-6223387 	                               	carmit@edenenergy.co.il           	אדן תגליות אנרגיה בעמ                       	556       	520040783
אדרי-אל        	ריאלי - נדלן ובינוי - נדלן ובינוי         	יצחק שדה 37, תל אביב                       	03-6090772  	03-6093979 	                               	nurit@edrigroup.com               	אדרי-אל ישראל נכסים בעמ                     	1466      	513910091
או.אר.טי.      	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	הלחי 31, בני ברק                           	03-5776855  	03-5776701 	www.ortechno.com               	hemis@orpak.co.il                 	או.אר.טי.טכנולוגיות בעמ                     	1135      	513057588
אודיוקודס      	הייטק - טכנולוגיה - ציוד תקשורת           	הירדן 1, נמל תעופה, לוד                    	03-9764000  	03-9764040 	www.audiocodes.com             	notices@audiocodes.com            	אודיוקודס בעמ                               	2134      	520044132
אוהה           	פיננסי - בנקים - בנקים                    	משכית 22, הרצליה                           	09-7888887  	09-7721645 	                               	reuven@jct.co.il                  	אוצר התישבות היהודים בעמ                    	601       	520019704
אולטרה אקוויטי 	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אפסווינג קפיטל,זבוטינסקי7, רמת גן          	03-6114922  	03-6114923 	                               	eran@zm-financial.co.il           	אולטרה אקוויטי השקעות בעמ                   	448       	520039314
אול-יר         	ריאלי - נדלן ובינוי - נדלן ובינוי         	אצל שמעונוב, מנחם בגין 11, רמת גן          	03-6111000  	03-6133355 	                               	info@allyearholdings.com          	אול-יר הולדינגס לימיטד                      	1631      	0
אופל בלאנס     	פיננסי - שרותים פיננסיים - שרותים פיננסיים	ז'בוטינסקי 47, אשדוד                       	08-8531531  	08-8563398 	www.opalbalance.co.il          	opal@opalbalance.com              	אופל בלאנס השקעות בעמ                       	1287      	513734566
אופקו          	הייטק - ביומד - השקעות במדעי החיים        	פרל כהן,מרכז עזריאלי1,ק18, תל אביב         	03-6073777  	03-6073778 	www.opko.com                   	contact@opko.com                  	אופקו הלת', אינק                            	1610      	2279206
אורביט         	הייטק - טכנולוגיה - ביטחוניות             	תד 8657, נתניה                             	09-8922777  	09-8922800 	www.orbit-cs.com               	orbit-ir@orbit-cs.com             	אורביט טכנולוג'יס בעמ                       	265       	520036153
אורד           	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	המשביר 4, חולון                            	03-5576666  	03-5596061 	www.orad.cc                    	izak.asher@orad.cc                	אורד בעמ                                    	1451      	512499344
אוריין         	ריאלי - מסחר ושרותים - שרותים             	המלאכה 8, לוד                              	08-9181812  	08-9208666 	www.orian.com                  	sales@orian.com                   	אוריין ש.מ. בעמ                             	1425      	511068256
אורכית(ש)      	הייטק - טכנולוגיה - ציוד תקשורת           	יגאל אלון 126, תל-אביב                     	03-6962121  	03-6965678 	www.orckit.com                 	naamaa@orckit.com                 	אורכית תקשורת בעמ                           	2093      	520042870
אורמת          	הייטק - טכנולוגיה - קלינטק                	שידלובסקי, אזור תעשיה חדש, יבנה            	08-9433777  	08-9439901 	www.ormat.com                  	ormat@ormat.com                   	אורמת תעשיות בעמ                            	260       	520036716
אורתם סהר      	ריאלי - נדלן ובינוי - נדלן ובינוי         	ביאליק 155, רמת גן                         	03-6130073  	03-6129969 	www.ortam-sahar.co.il          	aviad@ortams.co.il                	אורתם סהר הנדסה בעמ                         	1424      	512855404
