Name	Full Name
ישראמקו     יהש	ישראמקו נגב 2 שותפות מוגבלת
טלרד נטוורקס	טלרד נטוורקס בעמ
עילדב	עילדב השקעות
גלילאו טק	גלילאו טק
אסאר אקורד	אס.אר. אקורד
רציו פטרול  יהש	רציו פטרוליום אנרגיה - שותפות מוגבלת
לסיכו	לסיכו
אינטליקנה	אינטליקנה
איתמר	איתמר מדיקל
הכשרה התחדשות	הכשרת הישוב התחדשות עירונית ישראל
מדיפאואר	מדיפאואר (אוברסיס) פאבליק קו. לימיטד
מנורה מב החז	מנורה מבטחים החזקות
רם און	רם-און השקעות והחזקות (1999)
סלע נדלן	סלע קפיטל נדלן
ליניאג תרפיוטיק	ליניאג' סל תרפיוטיקס אינק.
מובייל מקס-ש	מובייל מקס טכנולוגיות בעמ
אלטשולר שחם גמל	אלטשולר שחם
ברימאג	ברימאג דיגיטל אייג'
בזן	בתי זקוק לנפט
נאוי	קבוצת אחים נאוי
ג'י.אף.סי-ס	ג'י.אף.סי גרין פילדס קפיטל
לפידות קפיטל	לפידות קפיטל
מיטב דש	מיטב דש השקעות
יוחננוף	מ.יוחננוף ובניו
דלק תמלוגים	דלק תמלוגים (2012)
דולומיט אחז	דולומיט אחזקות
הבורסה לניע בתא	הבורסה לניירות ערך בתל-אביב
שלאג	שלאג תעשיות
פנטזי נטוורק	פנטזי נטוורק
עדיקה סטייל	עדיקה סטייל
סאני תקשורת	סאני תקשורת סלולרית
גיבוי אחזקות	גיבוי אחזקות
פורסייט	פורסייט אוטונומס הולדינגס
ספיר קורפ	ספיר קורפ
מיחשוב ישר קב	קבוצת מיחשוב ישיר
גבאי מניבים	גבאי מניבים ופיתוח
דקמא קפיטל	דקמא קפיטל
כלל משקאות	כלל תעשיות ומשקאות
לוזון קבוצה	קבוצת עמוס לוזון יזמות ואנרגיה
מניבים ריט	מניבים קרן הריט החדשה
תמר פטרוליום	תמר פטרוליום
אביליטי	אביליטי אינק
פתאל החזקות	פתאל החזקות (1998)
שגריר	קבוצת שגריר שירותי רכב
שוהם ביזנס	א.נ שוהם ביזנס
ביולייט	ביולייט מדעי החיים
אינרום	אינרום תעשיות בנייה
קנזון	קנזון ישראל
ברנמילר	ברנמילר אנרג'י
אלון גז	אלון חיפושי גז טבעי
תיגבור	תיגבור-מאגר כח אדם מקצועי זמני
בי.ג'י.איי-ש	בי.ג'י.איי השקעות (1961)
תאת טכנו	תאת טכנולוגיות
ניו הוריזון-ש	ניו הוריזון גרופ
פוורפליט	פוורפליט,אינק.
קנביט	קנביט פארמסוטיקלס
נקסט ג'ן-ש	נקסט ג'ן ביומד
מידאס	מידאס השקעות בנדלן
ענבר גרופ	ענבר גרופ פיננסים
וויי בוקס	וויי-בוקס נדלן
מישורים	מישורים השקעות נדלן
הלמן אלדובי השק	הלמן אלדובי בית השקעות
קנאשור	קנאשור תראפיוטיקס
מגוריט	מגוריט ישראל
ויטלה קפיטל-ש	ויטלה קפיטל
אדגר	אדגר השקעות ופיתוח
פרידנזון	פרידנזון שירותים לוגיסטיים
רציו      יהש	רציו חיפושי נפט (1992)
שירותי בנק אוטו	שירותי בנק אוטומטיים
נורסטאר	נורסטאר החזקות אינק
יונט קרדיט	יונט קרדיט שירותים פיננסיים
הזדמנות יהש	הזדמנות ישראלית מקורות אנרגיה
מור השקעות	י.ד. מור השקעות
פנינסולה	קבוצת פנינסולה
טוגדר	טוגדר פארמה
שיח מדיקל	שיח מדיקל גרופ
וונטייז	וונטייז פי אל סי
ערך פיננסים	ערך פיננסים כהלכה
לוזון נדלן	ע. לוזון נדלן ופיננסים
מנרב פרויקטים	מנרב פרויקטים
פלסטו קרגל	קבוצת פלסטו-קרגל
פנאקסיה ישראל	פנאקסיה מעבדות ישראל
קופיקס גרופ	קופיקס גרופ
פננטפארק	פננטפארק פלוטינג רייט קפיטל לימיטד
פועלים איביאי	פועלים אי.בי.אי.-ניהול וחיתום
מדלי	מדלי קפיטל קורפוריישן
אלקטריאון	אלקטריאון וירלס
אקסלנז	אקסלנז ביוסיינס
מטעי הדר 5	י.ס.פ. מטעי הדר ישראל
מטעי הדר 1	י.ס.פ. מטעי הדר ישראל
אינטרקיור	אינטרקיור
סינאל	סינאל מלל פייווי
קאנומד	קאנומד תעשיות קנאביס רפואי
פטרוטקס יהש	פטרוטקס-שותפות מוגבלת
שטראוס	שטראוס גרופ
מנדלסוןתשת	מנדלסון תשתיות ותעשיות
גאון קבוצה	קבוצת גאון
אנלייבקס	אנלייבקס תרפיוטיקס
דנאל	דנאל (אדיר יהושע)
יוניבו	יוניבו תעשיות פרמצבטיות
אלמור חשמל	אלמור חשמל התקנות ושירותים (1986)
באטמ	באטמ תקשורת מתקדמת
בוני תיכון-ס	בוני התיכון הנדסה אזרחית ותשתיות
סים קומרשייל	סים קומרשייל טראסט קורפוריישן
אלומיי	אלומיי נפט וגז 2011
אפי נכסים	אפי נכסים
פרשמרקט	פרשמרקט
איי.אי מערכות	איי.אי.מערכות שיחה
או.אר.טי	או.אר.טי.טכנולוגיות
קמן קפיטל-ש	קמן קפיטל
ג'נריישן קפיטל	ג'נריישן קפיטל
קנון	קנון הולדינגס
פלסטופיל-ש	חברת פלסטופיל הזורע
מן הגורן	מן הגורן פיתוח
טכנופלס ונצרס	טכנופלס ונצ'רס
איי.אפ.אפ	אינטרנשיונל פליוורס אנד פראגרנסס
מגדלי תיכון	מגדלי הים התיכון
ג'י.פי גלובל	ג'י.פי. גלובל פאוור
מטומי	מטומי מדיה גרופ
אופטיבייס	אופטיבייס
נאוויטס פטר יהש	נאוויטס פטרוליום, שותפות מוגבלת
מודיעין   יהש	מודיעין אנרגיה - שותפות מוגבלת
ביוליין	ביוליין אר אקס
נובולוג	נובולוג (פארם אפ 1966)
מדיוי	מדיוי תראפיוטיק
סייפ-טי גרופ	סייפ-טי גרופ
אוברסיז	אוברסיז קומרס
קרסו	קרסו מוטורס
איביאי טכ עילית	איביאי טכ עילית
אורון קבוצה	קבוצת אורון אחזקות והשקעות
סאני אלקטרוניקה	סאני אלקטרוניקה
רבוע נדלן	רבוע כחול נדלן
אינפימר	אינפימר
ארפורט סיטי	איירפורט סיטי
מכון חקר אנטרנט	המכון לחקר האינטרנט
פי.אל.טי פיננס	פי.אל.טי שירותים פיננסיים
רני צים	רני צים מרכזי קניות
הולמס פלייס	הולמס פלייס אינטרנשיונל
פארמוקן	פארמוקן גלובל
אפולו פאוור	אפולו פאוור
אורמד פארמ	אורמד פארמסוטיקלס אינק.
אנרג'יאן	אנרג'יאן נפט וגז פי אל סי
יעקובי קבוצה	קבוצת אחים יעקובי (ואי.אס.בי)
יוטרון	יוטרון
אלביט מדקל טכ	אלביט מדיקל טכנולוג'יס
אטראו שוקי הון	אטראו שוקי הון
הפניקס	הפניקס אחזקות
סולגרין	סולגרין
ספרינג	ספרינג ונצ'רס
חג'ג'	קבוצת חג'ג' ייזום נדלן
ישראכרט	ישראכרט
וואיטסטון	ב.ה וואיטסטון גרופ
אורמת טכנו	אורמת טכנולוגיות, אינק
חד	חד-אסף תעשיות
רדהיל	רדהיל ביופארמה
ארן	ארן מחקר ופיתוח (1982)
גלוברנדס	גלוברנדס גרופ
ג'י וואן	ג'י וואן פתרונות אבטחה
גו.די.אם-ש	גו.די.אם השקעות
גדסדן נכסים-ס	גדסדן נכסים אינקורפורייטד
אפיו אפריקה-ש	אפיו אפריקה
איי.סי.בי	ישראל סין ביוטכנולוגיה (איי.סי.בי)
או פי סי אנרגיה	או.פי.סי אנרגיה
רותם אנרגיה יהש	רותם אנרגיה מחצבים (ראמ)-שותפות
פלאזה סנטר -ס	פלאזה סנטרס אן.וי
אוגווינד-ש	אוגווינד אנרגיה טק אחסון
מיט-טק	מיט-טק 3 די
גבעות     יהש	גבעות עולם חיפושי נפט - שותפות מוגבלת
אם.אר.פי	אם.אר.פי השקעות
אופקו הלת'	אופקו הלת', אינק
סים בכורה  סד L	סים קומרשייל טראסט קורפוריישן
